ЮМАНГУЛОВ ФАТЬМА САБИРЗЯНОВНА 1 2 Panagudi
МАЛЫХИН ДМИТРИЙ АНАТОЛЬЕВИЧ 2 1 Bageshwar
ТРОФЕЕВА ЕЛЕНА ДМИТРИЕВНА 3 0 Longowal
НАУМЕНКО АНАСТАСИЯ ВЛАДИМИРОВНА 4 0 Dhenkanal
ДАВТЯН СЕРГО РАЙМОНДОВИЧ 5 1 Seohara
ВОРОБЬЕВА АНТОНИНА МИХАЙЛОВНА 6 0 Vijayapura
ГОРОХОВА ВАЛЕНТИНА КОНСТАНТ 7 2 Jammu
АБРОСИМОВА ЕЛИЗАВЕТА ДМИТРИЕВНА 8 2 Dhoraji
ЛИТВИНЧУКОВА ТАМАРА КУЗЬМИНИЧНА 9 1 Pihani
БАРДАКОВ ИВАН ГЕРАСИМОВИЧ 10 1 Panagudi
ПАВЛОВ ДМИТРИЙ МИХАЙЛОВИЧ 11 3 Nangal
ЕМБУЛАЕВА НИНА ПЕТРОВНА 12 1 Multai
ХОЛИНОВА ЛЮДМИЛА НИКОЛАЕВНА 13 2 Tiruchirappalli
БОНДАЛЕТОВ СЕРГЕЙ ЕВГЕНЬЕВИЧ 14 3 Gaya
КОЛЕСНИКОВ ЮРИЙ ВИКТОРОВИЧ 15 2 Akot
ГУРОВА ЕЛЕНА ВЛАДИМИРОВНА 16 2 Adilabad
БАЛМИНА НАТАЛЬЯ ИГОРЕВНА 17 1 Mahbubnagar
СИДОРКО ДЕНИС ВИКТОРОВИЧ 18 1 Munger
МОСИКЯН АСМИК АРТАШЕВНА 19 3 Puttur
КОСТЮШКИН ВЛАДИМИР НИКОЛАЕВИЧ 20 3 Pollachi
ВИШНЯКОВ ИЛЬЯ АЛЕКСАНДРОВИЧ 21 1 Todabhim
МАЛЫХИН ИВАН ЮРЬЕВИЧ 22 1 Dhenkanal
СТОРОЖЕНКО АННА ОЛЕГОВНА 23 0 Lunawada
СОЛОВЬЕВ ЮРИЙ ВАЛЕРЬЕВИЧ 24 0 Bilaspur
ГУХЛЕНКОВ ГЕННАДИЙ ГАВРИЛОВИЧ 25 2 Ratangarh
КОРНЕВ ВАДИМ МИХАЙЛОВИЧ 26 0 Lunawada
ВОЛКОВА ЕЛЕНА БОРИСОВНА 27 1 Maharajganj
АЛЯУТДИНОВА ЗАКИЯ ФАХРУТДИНОВНА 28 0 Mancherial
ПЕРВУШИНА НАТАЛИЯ ИВАНОВНА 29 3 Ponneri
СИНЕВА ОЛЬГА НИКОЛАЕВНА 30 1 Thuraiyur
ГОГОЛЕВА ДАРЬЯ СЕРГЕЕВНА 31 3 Ongole
КСЕНОФОНТОВ АНДРЕЙ ИГОРЕВИЧ 32 3 Mandi
ВОЛЧЕК ЕЛЕНА НИКОЛАЕВНА 33 0 Kohima
РЫЖОВА ОЛЬГА АНАТОЛЬЕВНА 34 0 Tiruchendur
СТЕПАНЦОВ ВИТАЛИЙ СЕРГЕЕВИЧ 35 1 Ongole
ФЕДОТОВА ВИТА ЮРЬЕВНА 36 3 Khair
СМИРНОВА НАТАЛЬЯ МИХАЙЛОВНА 37 1 Shikohabad
ЗАК БОРИС НАХИМОВИЧ 38 1 Sumerpur
ЛАБОР ЕВГЕНИЙ ВЛАДИМИРОВИЧ 39 0 Batala
МОИСЕЕВА КРИСТИНА РОМАНОВНА 40 1 Siana
ЧИЖОВ НИКОЛАЙ КОНСТАНТИНОВИЧ 41 1 Rameshwaram
КОЗЫРЕВА ГАЛИНА НИКОЛАЕВНА 42 0 Pilibanga
МУРЗАБУЛАТОВА БАЯН КАБЕНОВНА 43 0 Malkangiri
ГЛАДЫШЕВ АЛЕКСАНДР ИВАНОВИЧ 44 0 Yellandu
РАССОХИН ЕВГЕНИЙ АНАТОЛЬЕВИЧ 45 1 Sakti
ФЕЛЬМАН ЯКОВ-АБРАМ МЕЙЕРОВИЧ 46 3 Lalgudi
ГАШИН ИВАН НИКОЛАЕВИЧ 47 0 Jammu
НАМАЗАЛИЕВ ХАЛИГ МАДАТ- 48 0 Shikohabad
ЛАУДИН ПАВЕЛ ВЛАДИМИРОВИЧ 49 2 Ongole
ГУРУЛЕВА НЕЛЛИ АЛЕКСЕЕВНА 50 1 Lonar
ГЕРАСИМОВА ТАМАРА ВАСИЛЬЕВНА 51 0 Moga
БРУНЧУКОВА ФЕДОСЬЯ МИХАЙЛОВНА 52 3 Taliparamba
ЗУЕВА НАТАЛИЯ ВАСИЛЬЕВНА 53 3 Gandhinagar
КОВАЛЕВ АЛЕКСЕЙ ЕВГЕНЬЕВИЧ 54 2 Narsipatnam
ВАСИЛЬЕВА НАТАЛЬЯ ИВАНОВНА 55 1 Dhoraji
КРИВИЦКАЯ НАТАЛЬЯ АЛЕКСАНДРОВНА 56 2 Narsipatnam
